post_id,username,date,time,content,hashtags,likes,comments,shares,category,hour,day_of_week,engagement,sentiment,sentiment_score
333,@priya_designs,2026-08-17,01:05,This productivity community is so supportive and inspiring #ai #machinelearning #tech,#ai #machinelearning #tech,345,26,4,Technology,1,Monday,375,Positive,0.7123
308,@bookworm_ira,2026-08-17,07:02,"Best startup experience ever, highly recommend it to everyone! #datascience #foodie #tech",#datascience #foodie #tech,473,10,0,Food,7,Monday,483,Positive,0.8066
380,@chef_ishaan,2026-08-17,08:09,Really frustrated with how this art launch turned out #foodie #photography #startup,#foodie #photography #startup,244,0,0,Travel,8,Monday,244,Negative,-0.5709
142,@dev_naina,2026-08-17,11:23,Some thoughts on the current state of python #art #motivation,#art #motivation,189,13,5,Lifestyle,11,Monday,207,Positive,0.34
305,@travel_with_meera,2026-08-17,11:34,Grateful for such a wonderful fitness journey this year #books #fitness #startup,#books #fitness #startup,55,20,6,Fitness,11,Monday,81,Positive,0.872
291,@thefoodie_raj,2026-08-17,14:22,A quick look at what I learned about gaming this week #fitness #motivation,#fitness #motivation,171,1,15,Fitness,14,Monday,187,Positive,0.5423
174,@photo_kabir,2026-08-17,14:40,"Not happy with the art experience today, needs work #art #fitness #foodie",#art #fitness #foodie,335,12,13,Sports,14,Monday,360,Negative,-0.2259
158,@dev_naina,2026-08-17,15:43,"Best gaming experience ever, highly recommend it to everyone! #art #books #motivation",#art #books #motivation,1,4,18,Lifestyle,15,Monday,23,Positive,0.8653
355,@bookworm_ira,2026-08-17,18:09,"Best food experience ever, highly recommend it to everyone! #gaming #music #travel",#gaming #music #travel,185,0,9,Entertainment,18,Monday,194,Positive,0.8066
204,@photo_kabir,2026-08-17,19:17,"Best productivity experience ever, highly recommend it to everyone! #photography #python #travel",#photography #python #travel,100,14,4,Travel,19,Monday,118,Positive,0.8066
253,@artsy_diya,2026-08-17,20:19,Sharing some notes on productivity today #foodie #news #startup,#foodie #news #startup,231,23,4,Business,20,Monday,258,Positive,0.4215
10,@startup_vik,2026-08-17,21:05,"Best reading experience ever, highly recommend it to everyone! #news #productivity #startup",#news #productivity #startup,4,12,0,Business,21,Monday,16,Positive,0.8066
139,@artsy_diya,2026-08-18,01:36,So excited to share this incredible python milestone with you all #books #photography #travel,#books #photography #travel,0,0,4,Travel,1,Tuesday,4,Positive,0.6318
26,@chef_ishaan,2026-08-18,02:12,"Disappointed by the recent food changes, not a fan #fitness #foodie #motivation",#fitness #foodie #motivation,37,7,11,Sports,2,Tuesday,55,Negative,-0.5386
348,@dev_naina,2026-08-18,02:52,"Disappointed by the recent startup changes, not a fan #python #tech",#python #tech,193,35,3,Technology,2,Tuesday,231,Negative,-0.6202
19,@startup_vik,2026-08-18,11:08,So excited to share this incredible food milestone with you all #books #foodie #productivity,#books #foodie #productivity,117,6,3,Food,11,Tuesday,126,Positive,0.6318
153,@thefoodie_raj,2026-08-18,14:54,"Best photography experience ever, highly recommend it to everyone! #books #startup #webdev",#books #startup #webdev,213,38,12,Lifestyle,14,Tuesday,263,Positive,0.8066
97,@fit_arjun,2026-08-18,15:39,This gaming community is so supportive and inspiring #foodie #machinelearning #startup,#foodie #machinelearning #startup,243,24,6,Food,15,Tuesday,273,Positive,0.7123
353,@musicby_sara,2026-08-18,16:31,"Best gaming experience ever, highly recommend it to everyone! #machinelearning #motivation",#machinelearning #motivation,29,24,0,Lifestyle,16,Tuesday,53,Positive,0.8653
105,@travel_with_meera,2026-08-18,17:50,"Absolutely loving the new productivity update, this is amazing! #news #photography #startup",#news #photography #startup,195,17,14,Business,17,Tuesday,226,Positive,0.8513
154,@musicby_sara,2026-08-18,17:59,"Best startup experience ever, highly recommend it to everyone! #art #books #opensource",#art #books #opensource,293,4,10,Lifestyle,17,Tuesday,307,Positive,0.8066
214,@karan_vibes,2026-08-18,19:11,A quick look at what I learned about fitness this week #machinelearning #news #productivity,#machinelearning #news #productivity,0,26,9,Business,19,Tuesday,35,Positive,0.2732
151,@travel_with_meera,2026-08-18,19:46,A quick look at what I learned about food this week #fitness #motivation,#fitness #motivation,10,7,9,Sports,19,Tuesday,26,Positive,0.5423
147,@travel_with_meera,2026-08-18,19:49,This travel community is so supportive and inspiring #opensource #productivity #startup,#opensource #productivity #startup,31,0,14,Business,19,Tuesday,45,Positive,0.7123
250,@chef_ishaan,2026-08-18,20:09,"Working on a new python post, stay tuned #datascience #foodie",#datascience #foodie,163,20,11,Food,20,Tuesday,194,Neutral,0.0
248,@startup_vik,2026-08-18,20:11,Sharing some notes on art today #fitness #motivation #startup,#fitness #motivation #startup,208,11,15,Fitness,20,Tuesday,234,Positive,0.743
58,@fit_arjun,2026-08-18,20:29,Really frustrated with how this art launch turned out #foodie #motivation #startup,#foodie #motivation #startup,268,8,10,Food,20,Tuesday,286,Negative,-0.3167
75,@dev_naina,2026-08-18,21:44,So excited to share this incredible art milestone with you all #coding #fitness #motivation,#coding #fitness #motivation,307,10,7,Sports,21,Tuesday,324,Positive,0.8251
13,@artsy_diya,2026-08-19,08:59,Sharing some notes on photography today #coding #startup #tech,#coding #startup #tech,345,4,8,Technology,8,Wednesday,357,Positive,0.4215
27,@bookworm_ira,2026-08-19,09:16,Really frustrated with how this fitness launch turned out #gaming #webdev,#gaming #webdev,307,18,1,Entertainment,9,Wednesday,326,Negative,-0.3222
96,@gamer_ananya,2026-08-19,09:38,Grateful for such a wonderful art journey this year #foodie #news #webdev,#foodie #news #webdev,263,8,8,Food,9,Wednesday,279,Positive,0.7717
47,@dev_naina,2026-08-19,13:47,Some thoughts on the current state of startup #fitness #motivation #photography,#fitness #motivation #photography,43,11,2,Fitness,13,Wednesday,56,Positive,0.5423
233,@gamer_ananya,2026-08-19,14:14,So excited to share this incredible gaming milestone with you all #books #motivation #travel,#books #motivation #travel,264,1,14,Lifestyle,14,Wednesday,279,Positive,0.762
160,@chef_ishaan,2026-08-19,14:23,"Here's an update on my food project, more details soon #ai #coding #machinelearning",#ai #coding #machinelearning,149,30,11,Technology,14,Wednesday,190,Neutral,0.0
377,@fit_arjun,2026-08-19,14:46,"Struggling with reading problems again, so annoying #books #gaming #startup",#books #gaming #startup,55,4,12,Entertainment,14,Wednesday,71,Negative,-0.8173
338,@karan_vibes,2026-08-19,15:06,"Best productivity experience ever, highly recommend it to everyone! #datascience #machinelearning #travel",#datascience #machinelearning #travel,96,21,11,Travel,15,Wednesday,128,Positive,0.8066
237,@travel_with_meera,2026-08-19,15:26,Some thoughts on the current state of reading #books #motivation #opensource,#books #motivation #opensource,201,19,0,Lifestyle,15,Wednesday,220,Positive,0.34
120,@priya_designs,2026-08-19,16:49,"Struggling with art problems again, so annoying #machinelearning #news #startup",#machinelearning #news #startup,0,27,6,Business,16,Wednesday,33,Negative,-0.8173
290,@artsy_diya,2026-08-19,16:51,Sharing some notes on reading today #datascience #motivation #startup,#datascience #motivation #startup,247,9,14,Fitness,16,Wednesday,270,Positive,0.6369
382,@priya_designs,2026-08-19,16:55,"Working on a new travel post, stay tuned #music #python #startup",#music #python #startup,42,17,2,Entertainment,16,Wednesday,61,Neutral,0.0
259,@artsy_diya,2026-08-19,17:29,"Here's an update on my fitness project, more details soon #datascience #foodie #productivity",#datascience #foodie #productivity,250,14,4,Food,17,Wednesday,268,Positive,0.2732
292,@chef_ishaan,2026-08-19,17:52,"Here's an update on my photography project, more details soon #gaming #music #opensource",#gaming #music #opensource,259,4,4,Entertainment,17,Wednesday,267,Neutral,0.0
