post_id,username,date,time,content,hashtags,likes,comments,shares,category
333,@priya_designs,2026-08-17,01:05,This productivity community is so supportive and inspiring #ai #machinelearning #tech,#ai #machinelearning #tech,345,26,4,Technology
308,@bookworm_ira,2026-08-17,07:02,"Best startup experience ever, highly recommend it to everyone! #datascience #foodie #tech",#datascience #foodie #tech,473,10,0,Food
380,@chef_ishaan,2026-08-17,08:09,Really frustrated with how this art launch turned out #foodie #photography #startup,#foodie #photography #startup,244,0,0,Travel
142,@dev_naina,2026-08-17,11:23,Some thoughts on the current state of python #art #motivation,#art #motivation,189,13,5,Lifestyle
305,@travel_with_meera,2026-08-17,11:34,Grateful for such a wonderful fitness journey this year #books #fitness #startup,#books #fitness #startup,55,20,6,Fitness
291,@thefoodie_raj,2026-08-17,14:22,A quick look at what I learned about gaming this week #fitness #motivation,#fitness #motivation,171,1,15,Fitness
174,@photo_kabir,2026-08-17,14:40,"Not happy with the art experience today, needs work #art #fitness #foodie",#art #fitness #foodie,335,12,13,Sports
158,@dev_naina,2026-08-17,15:43,"Best gaming experience ever, highly recommend it to everyone! #art #books #motivation",#art #books #motivation,1,4,18,Lifestyle
355,@bookworm_ira,2026-08-17,18:09,"Best food experience ever, highly recommend it to everyone! #gaming #music #travel",#gaming #music #travel,185,0,9,Entertainment
204,@photo_kabir,2026-08-17,19:17,"Best productivity experience ever, highly recommend it to everyone! #photography #python #travel",#photography #python #travel,100,14,4,Travel
253,@artsy_diya,2026-08-17,20:19,Sharing some notes on productivity today #foodie #news #startup,#foodie #news #startup,231,23,4,Business
10,@startup_vik,2026-08-17,21:05,"Best reading experience ever, highly recommend it to everyone! #news #productivity #startup",#news #productivity #startup,4,12,0,Business
139,@artsy_diya,2026-08-18,01:36,So excited to share this incredible python milestone with you all #books #photography #travel,#books #photography #travel,0,0,4,Travel
26,@chef_ishaan,2026-08-18,02:12,"Disappointed by the recent food changes, not a fan #fitness #foodie #motivation",#fitness #foodie #motivation,37,7,11,Sports
348,@dev_naina,2026-08-18,02:52,"Disappointed by the recent startup changes, not a fan #python #tech",#python #tech,193,35,3,Technology
